Sample	Depth_m	O2_uM	PO4_uM	SiO2_uM	NO3_uM	NH4_uM	Std_NH4_uM	NO2_uM	Std_NO2_uM	H2S_uM	Std_H2S_uM	Cells/ml	N2O_nM	Std_N2O_nM	CH4_nM	Std_CH4_nM	Temperature_C	Conductivity_mScm_1	Fluorescence_mgm_3	OxygenSBE_V	Salinity_PSU	Density_q
Saanich_010	10	216.667	0.52	20.672	1.793	0.408	0.0084	0.1275	0.0088	0	0	NAN	0.849	0.114	1030.478	3.07	12.854	33.534	3.521	4.954	28.121	21.098
Saanich_020	20	159.672	1.817	32.888	13.736	2.6551	0.0044	0.4938	0.0017	0	0	NAN	13.199	0	29.012	0	11.005	32.731	0.207	3.654	28.763	21.923
Saanich_040	40	141.778	2.244	38.98	22.013	1.3007	0.0087	0.3775	0.0052	0	0	NAN	12.829	1.509	37.146	2.695	9.536	32.149	0.157	3.246	29.352	22.619
Saanich_060	60	97.894	2.598	47.335	28.434	0.2652	0.0047	0.0471	0.0245	0	0	NAN	12.306	0.524	36.501	3.521	8.54	32.09	0.099	2.243	30.115	23.365
Saanich_075	75	44.978	3.19	60.986	30.604	0.1281	0.0227	0.0532	0.0052	0	0	NAN	13.896	1.417	24.013	0.435	8.48	32.465	0.171	1.031	30.551	23.714
Saanich_085	85	25.807	3.745	70.963	28.731	0.178	0.007	0.0966	0.0105	0	0	NAN	12.959	0.955	7.376	0.029	8.538	32.704	0.167	0.592	30.745	23.858
Saanich_090	90	27.011	3.934	67.897	26.78	0.1307	0.0054	0.0186	0.0192	0	0	NAN	15.551	1.417	4.19	0.159	8.599	32.812	0.115	0.619	30.803	23.895
Saanich_097	97	34.436	3.942	67.645	26.248	0.1371	0.0061	0.0297	0.0105	0	0	NAN	18.682	1.628	3.991	0.759	8.647	32.89	0.087	0.79	30.838	23.915
Saanich_100	100	38.012	3.672	69.062	26.4	0.1344	0.0092	0.0817	0.0105	0	0	NAN	18.087	1.275	3.231	0.392	8.703	32.97	0.109	0.872	30.872	23.933
Saanich_110	110	27.557	3.965	69.577	24.355	0.1046	0.0252	0.0619	0.0105	0	0	NAN	15.843	1.953	3.633	0.127	8.727	33.053	0.179	0.632	30.932	23.977
Saanich_120	120	32.354	4.09	64.383	21.302	0.1782	0.01	0.0978	0.0018	0	0	NAN	16.304	1.085	3.463	0.519	8.796	33.188	0.197	0.742	31.007	24.026
Saanich_135	135	20.446	4.342	70.321	15.917	0.1296	0.0166	0.0706	0.0018	0	0	NAN	12.909	2.577	4.815	0.658	8.882	33.345	0.108	0.469	31.088	24.076
Saanich_150	150	0	4.988	70.78	5.278	2.1754	0.0293	0.1127	0.0018	0	0	NAN	11.815	0	8.323	0	9.002	33.526	0.181	0.089	31.164	24.118
Saanich_165	165	0	5.599	62.58	0	4.7095	0.2112	0.0805	0.0053	3.5027	0.0423	NAN	6.31	0.732	23.831	2.291	9.041	33.597	0.132	0.069	31.197	24.138
Saanich_185	185	0	5.974	64.763	0	6.4038	0.4384	0.0211	0.0158	11.647	0.0827	NAN	0	0	310.068	0	9.091	33.681	0.199	0.066	31.231	24.157
Saanich_200	200	0	6.298	66.2	0	7.3582	0.2816	0	0	17.9867	0.0006	NAN	0	0	774.034	12.745	9.117	33.727	0.236	0.063	31.248	24.167
